month,rain_sum,rain_peak,heavy_hours,top10_ratio,date,waste_sum
2024-01,15.083333333333332,1.5833333333333333,0.0,1.0,2024-01,66.85
2024-02,56.08333333333333,4.5,0.0,0.9702823179791975,2024-02,81.45
2024-03,21.616666666666667,2.833333333333333,0.0,1.0,2024-03,76.9
2024-04,43.25,5.416666666666667,0.0,1.0,2024-04,120.27
2024-05,106.75,5.916666666666667,0.0,0.9999999999999998,2024-05,121.3
2024-06,92.41666666666666,8.5,0.0,1.0,2024-06,99.1
2024-07,308.96666666666664,22.33333333333333,7.0,0.9305750350631137,2024-07,163.85
2024-08,79.03333333333333,14.875,1.0,1.0,2024-08,83.8
2024-09,167.41666666666666,22.5,3.0,1.0000000000000004,2024-09,77.72
2024-10,72.31666666666666,15.2,3.0,1.0,2024-10,113.9
2024-11,72.01666666666667,3.8333333333333335,0.0,0.9881971765794956,2024-11,31.2
2024-12,3.05,0.4166666666666667,0.0,1.0,2024-12,61.85
